"STATE","TUBEWELLS IN USE","TUBEWELLS NOT IN USE - TEMPORARY","TUBEWELLS NOT IN USE - PERMANENT","TUBEWELLS - TOTAL","GRAND TOTAL"
"ANDAMAN & NICOBARS",3,0,0,0,3
"ANDHRA PRADESH",268795,3359,3785,7144,275939
"ARUNACHAL PRADESH",5,5,1,6,11
"ASSAM",410,502,200,702,1112
"BIHAR",20887,2372,0,2372,23259
"CHANDIGARH",19,0,0,0,19
"CHHATISGARH",5531,205,59,264,5795
"DADRA & NAGAR HAVELI",9,0,0,0,9
"DELHI",1199,19,10,29,1228
"GOA",38,9,0,9,47
"GUJARAT",144018,2137,1294,3431,147449
"HARYANA",47239,0,0,0,47239
"HIMACHAL PRADESH",468,2,1,3,471
"JAMMU & KASHMIR",80,0,0,0,80
"JHARKHAND",440,119,4,123,563
"KERALA",1049,0,1,1,1050
"MADHYA PRADESH",116270,1510,773,2283,118553
"MAHARASHTRA",112182,894,282,1176,113358
"MEGHALAYA",2,2,1,3,5
"NAGALAND",0,1,1,2,2
"ODISHA",2391,1449,2195,3644,6035
"PUDUCHERRY",1947,12,31,43,1990
"PUNJAB",316199,1,123,124,316323
"RAJASTHAN",168736,4036,3300,7336,176072
"TAMIL NADU",155178,3885,1544,5429,160607
"TRIPURA",158,1,7,8,166
"UTTAR PRADESH",47458,1142,453,1595,49053
"UTTARAKHAND",1328,2,0,2,1330
"WEST BENGAL",4771,273,152,425,5196
